BIOME,full_name,short_name
1,"Tropical & Subtropical Moist Broadleaf Forests, Tropical Forest",Tropical forest
2,"Tropical & Subtropical Dry Broadleaf Forests, Lesser Sunda Islands",Lesser Sunda
3,"Tropical & Subtropical Coniferous Forests, ",Conifer Forest
4,Temperate Broadleaf & Mixed Forests,Mixed Forests
5,Temperate Conifer Forests,Conifer Forest
6,Boreal Forests/Taiga,Taiga
7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Tropical grasslands
8,"Temperate Grasslands, Savannas & Shrublands",Temperate grasslands
9,Flooded Grasslands & Savannas,Savannas
10,Montane Grasslands & Shrublands,Shrublands
11,Tundra,Tundra
12,"Mediterranean Forests, Woodlands & Scrub",Mediterranean
13,"Deserts & Xeric Shrublands, Arid",Arid
14,Mangroves,Mangroves
