species,tropical_grasslands,mixed_forests,arid,mediterranean,tropical_forest,temperate_grasslands,lesser_sunda,solomon_islands,New_guinea,notes
Anilios_aspina,1,0,0,0,0,0,0,0,0,
Anilios_batillus,0,1,0,0,0,0,0,0,0,
Anilios_centralis,0,0,1,0,0,0,0,0,0,
Anilios_ganei,0,0,1,0,0,0,0,0,0,
Anilios_guentheri,1,0,0,0,0,0,0,0,0,
Anilios_howi,1,0,0,0,0,0,0,0,0,
Anilios_insperatus,0,1,0,0,0,0,0,0,0,
Anilios_margaretae,0,0,1,0,0,0,0,0,0,
Anilios_micromma,1,0,0,0,0,0,0,0,0,
Anilios_nema,1,0,0,0,0,0,0,0,0,
Anilios_obtusifrons,0,0,0,1,0,0,0,0,0,
Anilios_pilbarensis,0,0,1,0,0,0,0,0,0,
Anilios_pinguis,0,0,0,1,0,0,0,0,0,
Anilios_robertsi,0,0,0,0,1,0,0,0,0,
Anilios_splendidus,0,0,1,0,0,0,0,0,0,
Anilios_systenos,0,0,0,1,0,0,0,0,0,
Anilios_yampiensis,1,0,0,0,0,0,0,0,0,
Anilios_yirrikalae,1,0,0,0,0,0,0,0,0,
Anilios_endoterus,0,0,1,0,0,0,0,0,0,
Anilios_ammodytes,0,0,1,0,0,0,0,0,0,
Anilios_unguirostris,1,0,0,0,0,0,0,0,0,
Anilios_australis,0,0,0,1,0,0,0,0,0,
Anilios_nigrescens,0,1,0,1,0,1,0,0,0,
Anilios_tovelli,1,0,0,0,0,0,0,0,0,
Anilios_grypusNW,1,0,1,1,0,0,0,0,0,
Anilios_grypusW,0,0,1,0,0,0,0,0,0,
Anilios_grypusE,1,0,1,0,0,1,0,0,0,Eastern lineage found in Temperate grassland (2 records)
Anilios_affinis,1,1,1,0,0,1,0,0,0,
Anilios_chamodracaena,1,0,0,0,0,0,0,0,0,
Anilios_silvia,0,1,0,0,0,0,0,0,0,
Anilios_leptosoma,0,0,1,1,0,0,0,0,0,
Anilios_minimus,1,0,1,0,0,0,0,0,0,
Anilios_troglodytes,1,0,0,0,0,0,0,0,0,
Anilios_hamatus,0,0,1,1,0,1,0,0,0,
Anilios_broomi,1,0,0,0,1,0,0,0,0,
Anilios_diversus,1,0,1,0,1,0,0,0,0,
Anilios_bicolor,0,0,1,1,0,0,0,0,0,
Anilios_kimberleyensis,1,0,0,0,0,0,0,0,0,
Anilios_leucoproctus,1,0,0,0,0,0,0,0,0,
Anilios_ligatus,1,0,0,0,0,0,0,0,0,restricted to biome A (tropical savannah)
Anilios_ligatusE,1,1,0,0,1,1,0,0,0,Eastern lineage found in more biomes
Anilios_waitii,0,0,1,1,0,0,0,0,0,
Anilios_proximus,1,1,0,1,1,1,0,0,0,
Anilios_torresianus,1,0,0,0,1,0,0,0,0,
Anilios_wiedii,1,1,0,0,1,1,0,0,0,
Anilios_bituberculatus,0,1,1,1,0,1,0,0,0,
Anilios_longissimus,0,0,1,0,0,0,0,0,0,
Acutyphlops_subocularis,0,0,0,0,0,0,0,1,0,Solomon Islands
Sundatyphlops_polygrammicus,0,0,0,0,0,0,1,0,0,
Ramphotyphlops_multilineatus,0,0,0,0,0,0,0,0,1,PNG
