taxon,state,in_tree
Anilios_affinis,2,yes
Anilios_ammodytes,1,yes
Anilios_aspina,2,yes
Anilios_australis,2,yes
Anilios_bicolor,2,yes
Anilios_bituberculatus,0,yes
Anilios_broomi,2,yes
Anilios_centralis,1,yes
Anilios_diversus,0,yes
Anilios_endoterus,1,yes
Anilios_ganei,1,yes
Anilios_grypusET,0,yes
Anilios_grypusNW,0,yes
Anilios_grypusW,1,yes
Anilios_guentheri,2,yes
Anilios_hamatus,0,yes
Anilios_howi,2,yes
Anilios_kimberleyensis,2,yes
Anilios_leptosoma,2,yes
Anilios_leucoproctus,2,yes
Anilios_ligatus,2,yes
Anilios_ligatusE,2,yes
Anilios_longissimus,2,yes
Anilios_margaretae,1,yes
Anilios_nigrescens,2,yes
Anilios_obtusifrons,2,yes
Anilios_pilbarensis,1,yes
Anilios_pinguis,2,yes
Anilios_proximus,2,yes
Anilios_silvia,2,yes
Anilios_systenos,2,yes
Anilios_torresianus,2,yes
Anilios_tovelli,2,yes
Anilios_troglodytes,2,yes
Anilios_unguirostris,2,yes
Anilios_waitii,1,yes
Anilios_wiedii,2,yes
Anilios_yirrikalae,2,yes
Anilios_batillus,2,no
Anilios_chamodracaena,2,no
Anilios_erycinus,2,no
Anilios_fossor,1,no
Anilios_insperatus,2,no
Anilios_micromma,2,no
Anilios_minimus,0,no
Anilios_nema,2,no
Anilios_robertsi,2,no
Anilios_vagurima,2,no
Anilios_yampiensis,2,no
Anilios_zonula,2,no
