"","LnL","numparams","d","e","j","x","AICc"
"DEC",-126.635644697753,2,1.22451980292324,0.907962246229066,0,0,257.58707886919
"DEC+J",-119.933916051467,3,0.878279899705082,1e-12,0.0218202221321563,0,246.516480751583
"DEC+X",-123.959538030022,3,1.48020437607356,0.848510406725068,0,-1.16817536064656,254.567724708693
"DEC+J+X",-114.795830482822,4,1.22858483036944,0.130882638756147,0.0422891452380689,-1.26600886415157,238.702772076754
"DIVALIKE",-128.416967429977,2,1.34172178810069,0.841836536482979,0,0,261.149724333638
"DIVALIKE+J",-122.541044273815,3,0.947582314865023,1e-12,0.0193327950266637,0,251.730737196279
"DIVALIKE+X",-125.026441921872,3,1.647477094111,0.763128555091555,0,-0.882891387521284,256.701532492393
"DIVALIKE+J+X",-117.028534191386,4,1.44202642020996,0.126067521409008,0.0367827753592539,-1.20572595379922,243.168179493884
"BAYAREALIKE",-138.071292497731,2,1.2361824433734,2.50227767722932,0,0,280.458374469147
"BAYAREALIKE+J",-127.46822618854,3,0.921099789292749,0.730755865751196,0.0177174219709472,0,261.585101025729
"BAYAREALIKE+X",-139.500081228903,3,0.954654202596469,1.86866120983235,0,-0.515662920788688,285.648811106455
"BAYAREALIKE+J+X",-119.430098340985,4,1.18724997194255,0.537524313772413,0.0436431037303833,-1.84861556789356,247.971307793081
